35,C11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.784,25.311,0.426,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.987,N,N,N,N,N
35,C11,FALSE,Laso,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.764,0.494,1.182,35.392,34.829,0.605,9.608,9.518,0.253,0.146,0.388,TRUE,0.199,TRUE,3,30,Amp,,0.989,N,N,N,Y,N
36,C12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.957,25.311,0.426,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.988,N,N,N,N,N
36,C12,FALSE,Laso,TGFB1,UNKNOWN,FAM,NFQ-MGB,,,,0.764,0.494,1.182,34.189,34.829,0.605,9.232,9.518,0.253,0.146,0.388,TRUE,0.199,TRUE,3,29,Amp,,0.993,N,N,N,Y,N
37,D1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.740,25.465,0.266,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.991,N,N,N,N,N
37,D1,FALSE,Veh,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.283,3.538,37.210,36.166,1.000,11.470,10.701,0.734,0.424,0.000,TRUE,0.152,TRUE,3,32,Amp,,0.970,N,N,N,Y,N
38,D2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.208,25.465,0.266,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.983,N,N,N,N,N
38,D2,FALSE,Veh,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.283,3.538,35.216,36.166,1.000,10.008,10.701,0.734,0.424,0.000,TRUE,0.152,TRUE,3,31,Amp,,0.989,N,N,N,Y,N
39,D3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.447,25.465,0.266,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.988,N,N,N,N,N
39,D3,FALSE,Veh,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.283,3.538,36.071,36.166,1.000,10.624,10.701,0.734,0.424,0.000,TRUE,0.152,TRUE,3,31,Amp,,0.986,N,N,N,Y,N
40,D4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.745,25.416,0.616,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.986,N,N,N,Y,N
40,D4,FALSE,E2,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.326,1.022,1.719,35.962,35.710,0.465,10.217,10.294,0.151,0.087,-0.407,TRUE,0.152,TRUE,3,31,Amp,,0.990,N,N,N,N,N
41,D5,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.798,25.416,0.616,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.987,N,N,N,Y,N
41,D5,FALSE,E2,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.326,1.022,1.719,35.996,35.710,0.465,10.198,10.294,0.151,0.087,-0.407,TRUE,0.152,TRUE,3,31,Amp,,0.988,N,N,N,N,N
42,D6,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.706,25.416,0.616,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.984,N,N,N,Y,N
42,D6,FALSE,E2,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.326,1.022,1.719,35.174,35.710,0.465,10.468,10.294,0.151,0.087,-0.407,TRUE,0.152,TRUE,3,30,Amp,,0.990,N,N,N,N,N
43,D7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.935,24.696,0.211,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.990,N,N,N,N,N
43,D7,FALSE,Ful,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.093,0.113,10.548,34.705,35.269,1.259,9.769,10.572,1.317,0.760,-0.128,TRUE,0.152,TRUE,3,30,Amp,,0.993,N,N,N,Y,N
44,D8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.534,24.696,0.211,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.987,N,N,N,N,N
44,D8,FALSE,Ful,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.093,0.113,10.548,34.390,35.269,1.259,9.856,10.572,1.317,0.760,-0.128,TRUE,0.152,TRUE,3,30,Amp,,0.993,N,N,N,Y,N
45,D9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.619,24.696,0.211,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.982,N,N,N,N,N
45,D9,FALSE,Ful,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.093,0.113,10.548,36.711,35.269,1.259,12.092,10.572,1.317,0.760,-0.128,TRUE,0.152,TRUE,3,32,Amp,,0.975,N,N,N,Y,N
46,D10,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,24.984,25.354,0.336,,,,,,TRUE,0.106,TRUE,3,20,Amp,,0.987,N,N,N,N,N
46,D10,FALSE,Laso,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.488,0.802,2.763,35.475,35.481,0.070,10.491,10.127,0.359,0.207,-0.574,TRUE,0.152,TRUE,3,31,Amp,,0.988,N,N,N,N,N
47,D11,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.641,25.354,0.336,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.989,N,N,N,N,N
47,D11,FALSE,Laso,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.488,0.802,2.763,35.414,35.481,0.070,9.773,10.127,0.359,0.207,-0.574,TRUE,0.152,TRUE,3,31,Amp,,0.991,N,N,N,N,N
48,D12,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.437,25.354,0.336,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.987,N,N,N,N,N
48,D12,FALSE,Laso,BIK,UNKNOWN,FAM,NFQ-MGB,,,,1.488,0.802,2.763,35.554,35.481,0.070,10.117,10.127,0.359,0.207,-0.574,TRUE,0.152,TRUE,3,31,Amp,,0.987,N,N,N,N,N
49,E1,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.161,25.803,0.359,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.987,N,N,N,N,N
49,E1,FALSE,Veh,CCND2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,N
50,E2,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.442,25.803,0.359,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.982,N,N,N,N,N
50,E2,FALSE,Veh,CCND2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,Y
51,E3,FALSE,Veh,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.805,25.803,0.359,,,,,,TRUE,0.106,TRUE,3,21,Amp,,0.987,N,N,N,N,N
51,E3,FALSE,Veh,CCND2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,N
52,E4,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,26.232,25.879,0.643,,,,,,TRUE,0.106,TRUE,3,22,Amp,,0.984,N,N,N,Y,N
52,E4,FALSE,E2,CCND2,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.040,TRUE,3,39,No Amp,,0.000,Y,Y,Y,N,Y
