39,D3,FALSE,Veh,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.905,1.105,27.936,27.915,0.088,10.757,10.744,0.058,0.034,0.000,TRUE,0.330,TRUE,3,22,Amp,,0.995,N
40,D4,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.487,16.603,0.170,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.977,N
40,D4,FALSE,Laso,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,0.987,0.862,1.129,27.188,27.367,0.248,10.701,10.763,0.078,0.045,0.019,TRUE,0.330,TRUE,3,21,Amp,,0.993,N
41,D5,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.798,16.603,0.170,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.973,N
41,D5,FALSE,Laso,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,0.987,0.862,1.129,27.650,27.367,0.248,10.851,10.763,0.078,0.045,0.019,TRUE,0.330,TRUE,3,22,Amp,,0.995,N
42,D6,FALSE,Laso,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.525,16.603,0.170,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.975,N
42,D6,FALSE,Laso,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,0.987,0.862,1.129,27.262,27.367,0.248,10.738,10.763,0.078,0.045,0.019,TRUE,0.330,TRUE,3,21,Amp,,0.992,N
43,D7,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.397,16.461,0.067,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.976,N
43,D7,FALSE,Ful,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.118,0.997,1.255,26.991,27.043,0.053,10.594,10.582,0.067,0.039,-0.162,TRUE,0.330,TRUE,3,21,Amp,,0.995,N
44,D8,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.454,16.461,0.067,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.974,N
44,D8,FALSE,Ful,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.118,0.997,1.255,27.097,27.043,0.053,10.642,10.582,0.067,0.039,-0.162,TRUE,0.330,TRUE,3,21,Amp,,0.992,N
45,D9,FALSE,Ful,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.531,16.461,0.067,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.971,N
45,D9,FALSE,Ful,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.118,0.997,1.255,27.042,27.043,0.053,10.511,10.582,0.067,0.039,-0.162,TRUE,0.330,TRUE,3,21,Amp,,0.993,N
46,D10,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.190,16.565,0.345,,,,,,TRUE,0.151,TRUE,3,11,Amp,,0.976,N
46,D10,FALSE,E2,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.380,1.065,1.788,26.351,26.844,0.484,10.161,10.279,0.150,0.087,-0.465,TRUE,0.330,TRUE,3,21,Amp,,0.993,N
47,D11,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.635,16.565,0.345,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.972,N
47,D11,FALSE,E2,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.380,1.065,1.788,26.864,26.844,0.484,10.229,10.279,0.150,0.087,-0.465,TRUE,0.330,TRUE,3,21,Amp,,0.995,N
48,D12,FALSE,E2,B2M,UNKNOWN,VIC,NFQ-MGB,,,,,,,16.870,16.565,0.345,,,,,,TRUE,0.151,TRUE,3,12,Amp,,0.976,N
48,D12,FALSE,E2,ccND1,UNKNOWN,FAM,NFQ-MGB,,,,1.380,1.065,1.788,27.318,26.844,0.484,10.448,10.279,0.150,0.087,-0.465,TRUE,0.330,TRUE,3,21,Amp,,0.990,N
